location,magnitude
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
2.3,084 km S 63° W of Agno (Pangasinan)
